# http://www.arrs.net/SA_Mara.htm
#  World Single Age Records- Marathon  (20 Jan 2011)
# marathon        <- read.csv("/home/foster/public_html_gosset/teaching/471/marathons.csv",skip=7)
# marathon$time   <- 60 * marathon$timeH + marathon$timeM + marathon$timeS/60
# marathon$age    <-  marathon$ageYears + marathon$ageDays / 395
# marathon$color  <- c("blue","pink")[(marathon$sex == "men") + 2 * (marathon$sex == "wmn")]
# plot(marathon$age, marathon$time, col = marathon$col,log="y")
sex,ageYears,ageDays,timeH,timeM,timeS,name,country,Bdate,Rdate,location
wmn,67,111,3,40,37,Riita Rasimus,SWE,10 Feb 1941,31 May 2008,Stockholm SWE
wmn,68,165,3,59,29,Shirley Young,AUS,24 Dec 1929,07 Jun 1998,Tratalgon AUS
wmn,69,137,3,35,54,Christa Wulf,GER,11 Dec 1933,27 Apr 2003,Hamburg GER
wmn,70,129,3,45,04,Christa Wulf,GER,11 Dec 1933,18 Apr 2004,Hamburg GER
wmn,71,1,3,48,14,Pat Trickett,ENG,02 Oct 1922,03 Oct 1993,Stone ENG
wmn,72,226,3,46,03,Ginette Bedard,USA,12 Aug 1933,26 Mar 2006,New York NY USA
wmn,73,85,3,59,04,Myra Rhodes,USA,16 Jul 1932,09 Oct 2005,Portland OR USA
wmn,74,51,4,01,54.6,Gwen McFarlan,CAN,04 Apr 1934,25 May 2008,Ottawa ON CAN
wmn,75,29,3,57,30,Gwen McFarlan,CAN,04 Apr 1934,03 May 2009,Vancouver BC CAN
wmn,76,189,4,02,27,Gwen McFarlan,CAN,04 Apr 1934,10 Oct 2010,Victoria BC CAN
wmn,77,175,4,11,28,Betty Jean McHugh,CAN,07 Nov 1927,01 May 2005,Vancouver CAN
wmn,78,1,5,00,37,Ida Mintz,USA,15 Oct 1905,16 Oct 1983,Chicago IL USA
wmn,79,6,5,03,54,Ida Mintz,USA,15 Oct 1905,21 Oct 1984,Chicago IL USA
wmn,80,340,4,36,52,Betty Jean McHugh,CAN,07 Nov 1927,12 Oct 2008,Victoria BC CAN
wmn,81,37,4,49,45,Betty Jean McHugh,CAN,07 Nov 1927,14 Dec 2008,Honolulu HI USA
wmn,82,36,4,53,06,Betty Jean McHugh,CAN,07 Nov 1927,09 Dec 2009,Honolulu HI USA
wmn,83,218,5,51,59,Margaret Davis,USA,13 Aug 1922,19 Mar 2006,Los Angeles CA USA
wmn,84,14,6,02,03,Ida Mintz,USA,15 Oct 1905,29 Oct 1989,Chicago IL USA
wmn,85,137,5,40,52,Ruth Rothfarb,USA,18 Jun 1901,02 Nov 1986,Washington DC USA
wmn,86,177,7,57,24,Mavis Lindgren,USA,02 Apr 1907,26 Sep 1993,Portland OR USA
wmn,87,183,7,06,48,Mavis Lindgren,USA,02 Apr 1907,02 Oct 1994,Portland OR USA
wmn,88,182,8,03,24,Mavis Lindgren,USA,02 Apr 1907,01 Oct 1995,Portland OR USA
wmn,89,180,8,09,23,Mavis Lindgren,USA,02 Apr 1907,29 Sep 1996,Portland OR USA
wmn,90,179,8,53,08,Mavis Lindgren,USA,02 Apr 1907,28 Sep 1997,Portland OR USA
wmn,92,19,9,53,48,Gladys Burrill,USA,23 Nov 1918,12 Dec 2010,Honolulu HI USA
